name,hash
make,d05aa2a15fb3c40efeeb03bec445393f00074484cf01c8fb2da90ca6695a5531
TOYOTA,ab011d303da690a90f41bc25ce1e6c79f33a7c4d27f971795b1b170263d17cf5
CHEVROLET,457880185b756a1b34ce991c3976cf5848123b96a3fcdd1911db8a8b96702b78
NISSAN,082ae58c519b818398dd2ef45b12f55288161d6e351da4df3a84bc8a1b29371c
FORD,3bd599c434bb5590c0c598fc33c5a54c9e33c2a6b7b3ddeedd3fc81a0327551d
TESLA,da610f5ca74010e7d8a97d330681d7a5c191a9aeaea4856e45dd5581b565080b
KIA,4d57297f9f0fa81441d66c5973e862849a650d86046153b2e0acace711f7502c
AUDI,9349a2aacee9ae34e8e05cece2cae1c03fbee1305645287fe39b80cdeda75086
FIAT,a3b205a9ee2b931fa722aee5496c3079a71b5fb4edf887a0787ccd5a1b9455b0
BMW,c76b5628a9d13567c99069ccd6a2418ea53a6096bd663d52a2e8fc410ba13af8
PORSCHE,01842805b68d9040e70841901c1d7ed544d43492dfa853cf590b41ed4c71f323
CADILLAC,cf9449e02180cbc64934e41a37f3864d59d26da68e5940f777aa4b12e6cf57ce
HONDA,9413c2b59305256b455a3bf50f2e694cd9b0ee18f94b6a7069cd31a4592c16db
MITSUBISHI,2bbe457c823e3f09c8b3cd11fb619a9dc7561b21b95faf3425960fc9e41b5f33
CHRYSLER,304d76cac63ecb86507fb11618134a8dc6285e9e67cad7b511099696515cd1ef
RIVIAN,9879ee374801defedc65b1ae01475d28906a35868fb034ac9cd05d8951070098
HYUNDAI,9d7bed9cba7f301b49dfc63cd19383369fd20e9e4f0ffa25817786c19f569e93
VOLVO,4a01b4bee38c436a32b0251d80b758a2ae7a435ad4106b62ab1a99d4e4f798b1
VOLKSWAGEN,d0cfa362f594ac956189d3b3aa02f8b91fbfcc198bca3722213027d2bd4f5f5d
MERCEDES-BENZ,59b543b19004a216be5333282d2c41137c79ca31250fccb6f93d99dac78c8860
JEEP,d80cd3e255fe6c410fbb7159d23792c9e6c77e37086bd37ab311bc8d7d596fe9
MINI,8ddefb0087b1484e5e11a368d08a878a0bfb71d12b7ba893c2f754cc425a8c0e
SMART,485a8bc030367212833d2211c1d8e7f8ff42c78276264aaf6c6f9fd9db516c41
SUBARU,af44783e291c5d516431c7fcf76e0af13b29a1a6f249cc68b1663cde89a71e00
POLESTAR,197dc5c5552f71ac99cc1535dc4cdfb6627c307a5e4284c83d2e5b255b97c328
LUCID MOTORS,f1dbbf1dfe7c3b6d550f2bc793e21bcb28c7c5fb19f91acf4e0ea16d274fe940
LINCOLN,828fa325e74b162c54f4a9393d4c0ece177a3478e5693660d88d205f1afed699
JAGUAR,bc61948d77b3156e7cee680438e603d90387b071eb849e255a3dd3335e67103d
FISKER,cc60e81b2879aef56fe0af037c6ab8d8c3c5ecb5bdba7de124e1c9e505083b87
LAND ROVER,b2685fb9dd03d83ba48ba7a8a6a8160d0b2c865a3d1e96d68a457bc17918015f
LEXUS,3c9e045603651f8df68897e69fb6d6bf5431302ef11def8ebb0924aba1151b8f
TH!NK,631dd6bd573e31c0beb580da22aeaccff1bacbe6924f5013ebeefb5d6c201d8e
GENESIS,901131d838b17aac0f7885b81e03cbdc9f5157a00343d30ab22083685ed1416a
BENTLEY,a09e2ba44a8240f7acd917294399a3541292033a781ba1aa42fda17600dea1c9
AZURE DYNAMICS,b94257394d2d8b7222f4c2d58c2662efb722f7bdbd55c222ef65749b3160f557
